S1_NPTXR_1	S1_NPTXR_2	S1_NPTXR_3	S1_NPTXR_4	S1_NPTXR_5	S1_Scramble_1	S1_Scramble_2	S1_Scramble_3	S1_Scramble_4	S1_Scramble_5	S2_NPTX2_1	S2_NPTX2_2	S2_NPTX2_3	S2_NPTX2_4	S2_NPTX2_5	S2_NPTXR_1	S2_NPTXR_2	S2_NPTXR_3	S2_Scramble_1	S2_Scramble_2	S2_Scramble_3
sp|A0A075B6P5|KV228_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.483430909886312	-0.0926160321210061	0.08238959104429	0.286943197393894	-0.18182592401249	-0.0370450911576388	-0.0847846502082848	1.16738241799333	-0.325961447949411	-0.304479976568916	-0.0265711745274614
sp|A0A096LP01|SIM26_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.341166581251486	0.114370239938113	0.200743220303156	0.318898030009575	-0.350803960102239	-0.0484065969716189	0.0744227124658292	-0.165790192506469	0.194982287515196	0.127224399573218	-0.12447355897328
sp|A0A0B4J2D5|GAL3B_HUMAN	-0.077833280743382	-0.358688515824797	-0.212515053555825	0.232407912492611	0.191515043096639	0.246108033729987	0.206288042278463	-0.0776203679786661	-0.135883801541085	-0.0137780119539585	-0.159538785847832	0.0526710125585697	0.129645932562901	0.151766822149749	-0.176938475381735	-0.109309769273102	0.0272066989127747	-0.227432025946048	0.136568002957772	0.156493002089199	0.0188675852177445
sp|A0A0U1RR11|CENL1_HUMAN	0.346089136600805	-0.553344531167637	-0.127689627846416	0.201200060454387	0.106926986505399	0.101509409497602	0.13299985051804	-0.0365124449933902	-0.173774782275753	0.00259594270695044	0.52609315204366	-0.200599741040507	-0.176884282960505	0.206361826592647	-0.223193722211494	-0.0733726831052875	-0.0338454547929584	-0.034847890844966	0.0235331778297198	0.144847435010029	-0.158091816520342
sp|A0A0U1RRE5|NBDY_HUMAN	0.0246936781408205	-0.023944533412499	-0.150632176648023	0.0257543081316234	0.263371034242797	0.00486022467709659	0.0305898206825472	0.119184025587054	-0.179002707817763	-0.114873673583666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A0A0U1RRK4|LBHD2_HUMAN	-0.134036298267331	-0.306433248637801	-0.13017274459912	0.206174811471563	0.281896014029517	0.0677358761734514	0.141183499126896	-0.0979521856271039	-0.0526277456384653	0.0242320219683831	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sp|A0A1B0GUI7|BRDOS_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00841073599841508	0.206064876678467	0.101749588078421	0.16998196933989	-0.163087943738432	-0.217855541138072	0.0636087755368736	-0.26235760559512	0.101764816899503	0.00727766092294794	-0.0155573329828986
sp|A0A1B0GUS4|UB2L5_HUMAN	0.0188923631609126	-0.720448860389945	0.066167778784243	0.0984623832931907	0.145541765864124	0.261465035622411	0.0161555559926483	0.111034152594277	-0.0855146630213838	0.0882444880995123	-1.00058611969209	0.116690244717902	0.289421534130285	-0.189012841202065	-0.491263361059044	0.113763624665681	0.201417339691551	-0.0662482873105072	0.28179785632632	0.507471979706725	0.236548030025239
sp|A0A1B0GUW7|SIM27_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.197259743213327	0.246232912851031	-0.0443009309784759	0.276643472883533	-0.0847269703270484	-0.0458109396438887	0.111532880681197	0.0338955459302881	0.0986325025060091	-0.0675917113610723	-0.327247019328252
sp|A0A1B0GUX0|VAFNB_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.259501761563505	0.253442957947812	-0.198396149887569	0.579006523827926	-0.0546182819321793	-0.0816138855884116	-0.112089197674457	0.0268205312603807	-0.220880386210674	-0.507006905086215	0.0558330317798785
sp|A0A1W2PPG7|GBG14_HUMAN	0.0189344823981913	-0.476866353625137	-0.110781674292047	0.195790694326698	0.172356166059887	0.121094571668994	0.271031736187614	-0.103779701934244	-0.077700996676406	-0.0100789241135608	0.118085090932751	-0.0758102356612838	0.268649818244025	0.46173357413527	0.0403331453711056	0.149332996201046	0.0510204611194491	-0.362590901953643	-0.173283466756077	-0.233677845450869	-0.243792636181778
sp|A0AV96|RBM47_HUMAN	-0.0682685358764007	-0.404513789967212	-0.136589274142371	0.0862330511152914	0.175817342129055	0.174854711877888	0.263245665987007	-0.00118300139225974	-0.0957035310142751	0.0061073612832638	0.106519111397459	0.0805381354639012	0.190140303901666	0.199100932000979	0.0813346198770778	-0.289000141877353	-0.13432483325279	-0.368221426414441	0.0919241837678028	0.0567912994833796	-0.01480218434769
sp|A0AVF1|IFT56_HUMAN	-0.0891394121746694	-0.317865629668487	-0.127300433905651	0.191915109804387	0.192475287842697	0.0758777125362567	0.153239692824991	-0.0407006704566856	-0.0798977599917653	0.0413961031889149	-0.0872060943517728	0.134156481302952	-0.0557794849063271	0.175400582667385	-0.218133481717565	-0.0372711164593144	-0.049584737732459	-0.312363695687888	0.2785956604766	-0.0134280511987493	0.185613937607133
sp|A0AVT1|UBA6_HUMAN	-0.0738757865048627	-0.327261658414373	-0.127837655726719	0.204955092614682	0.191122163883395	0.166912890435642	0.194271825413796	-0.0446967666597299	-0.141219407407076	-0.0423706976347691	-0.16668367062213	0.101441843707628	0.119033126590183	0.198824730026574	-0.118113881996883	-0.0488686665422613	0.0144152437681748	-0.164625388113096	0.100093276013106	0.0631583836354998	-0.098674996466801
sp|A0FGR8|ESYT2_HUMAN	-0.00683322858667236	-0.301696430222211	-0.127631045596975	0.20307233744669	0.179272508801364	0.127746748827606	0.128544548818481	-0.0637798143665362	-0.17309753307847	0.0344019079567095	0.0352689043231114	0.0665395578547871	0.108972009117975	0.156237896995842	-0.179332242580484	-0.0421693079819895	0.0516983969667238	-0.177530272902532	0.061021350698311	0.0550273071144714	-0.135733599606223
sp|A0JLT2|MED19_HUMAN	-0.0911253775186307	-0.379186707616125	-0.00340850741853484	0.262423758136966	0.237596730018956	-0.192686118740011	0.121471403222996	-0.0941302100380062	-0.0589724383890457	0.198017468341425	-0.0270787473531481	0.149838671204357	0.30121164867505	0.106026846913233	0.233978787407578	-0.32941794871142	0.226729479770354	-0.343591400599876	0.0863363995107928	-0.323203691595631	-0.0808300452212931
sp|A0JNW5|UH1BL_HUMAN	-0.0611287608966469	-0.353635950727219	-0.0741473147474365	0.184911808773402	0.200758568905955	0.118773466790906	0.179657655133768	-0.0878177645591616	-0.0973270352648618	-0.0100446734087188	0.00792064877747835	0.0401444688794503	0.0860757049040457	0.22989574393311	-0.14732318988359	-0.0641738580223376	0.105512170374168	-0.0983553707246837	0.0200015046112831	0.0164197657397931	-0.196117588588724
sp|A0MZ66|SHOT1_HUMAN	-0.126600586097835	-0.38812890902527	-0.199867157801149	0.116599846762833	0.161901327078213	0.206545814739872	0.258272310488188	-0.0232760417325121	-0.0180993802392736	0.0126527758269208	0.011010409775951	0.129897368920705	0.113891781327423	0.263040851978983	-0.100073239327594	-0.169261092993873	-0.101052410871771	-0.329446715382885	0.127523872050362	0.108944245499427	-0.0544750709767362
sp|A0PJW6|TM223_HUMAN	-0.0539913428807284	-0.431886290248738	-0.0813840109573116	0.156428852005922	0.197233462706413	0.155913445262962	0.200982243968003	-0.114221608268163	-0.0741512104113154	0.0450764588229452	-0.18192737376295	0.136241680951738	0.124092451807693	0.170451085506233	-0.127568293704063	-0.107353104003162	0.049538837933887	-0.2312343478481	0.0684047541188194	0.138259271539905	-0.0389049625400061
sp|A1A4S6|RHG10_HUMAN	-0.153844834473853	-0.457222771430559	-0.155401248073798	0.0958097150770964	0.106183538281027	0.199302646459842	0.253691997005517	0.0130441021069162	-0.00270245808963378	0.101139313137433	0.0429041095201223	0.0301542704141657	0.0743401129527651	0.198370238260038	-0.0971601816800333	-0.204782990517737	-0.121438603329396	-0.285467296635439	0.195857726904144	0.144777791963116	0.0224448221482476
sp|A1L020|MEX3A_HUMAN	-0.085687785015388	-0.331379890425851	-0.00607801144113901	0.374210917470974	0.331559609347519	-0.15386612157599	0.034214609634457	-0.0902996533755439	-0.0415820574076305	-0.0310916172114181	-0.117660605099741	-0.0881804618901827	0.185068928932119	0.11208675640126	0.168125944666193	-0.157411807061185	-0.118154569510841	-0.215583332823779	0.0534014142705139	0.0672256410940771	0.111082091021559
sp|A1L0T0|ILVBL_HUMAN	0.0337164973928824	-0.313488223953332	-0.0533392466277149	0.135209198022398	0.0950225516214416	0.174343298932388	0.151712906738077	-0.124375502276657	-0.195823710859908	0.0970222310104112	-0.0429490562771594	0.14110978676667	0.0859558569075657	0.164827219274629	-0.0974334705226803	-0.090495154233993	0.014251748965639	-0.198629658817721	0.055420060753413	0.10437919536084	-0.136436528177211
sp|A1L188|NDUF8_HUMAN	-0.0516447630182741	-0.53984093396108	-0.36782678149185	0.187570507085043	0.244887638463458	0.405246560058076	0.220283294256612	-0.110280033989327	0.13496623811639	-0.12336172551906	-0.18145390005893	0.107229244601848	0.106086199363692	0.0931270544788003	-0.166780574159539	0.0439031477932957	0.107602699230345	-0.219671508191604	0.0938231345354945	0.116995865674778	-0.100861363268185
sp|A1L390|PKHG3_HUMAN	-0.0833509861218266	-0.386267066415377	-0.118722159284725	0.160538706824872	0.184459026120814	0.106699028210384	0.244992524229176	-0.0541290931997316	-0.0710161690043508	0.016796188640752	-0.0810209970899617	0.13914803387296	0.155562565759829	0.212963831620138	-0.0847853470966265	-0.131672134732679	-0.0462660857951552	-0.237367758198179	0.0906267653901201	0.041357904302276	-0.0585467780327295
sp|A1X283|SPD2B_HUMAN	0.0216592905475463	-0.31690250044412	-0.132413465628448	0.234870482688381	0.266158095467303	0.0838126040756162	0.172814231534843	-0.104965346872071	-0.140567156384001	-0.0844662349850626	-0.148875525363283	0.11184971875842	0.0613802265398304	0.186198590372376	-0.248673974413143	0.0242543341676279	0.0704421568794784	-0.145139552235286	0.0520807001755644	0.0434211752085332	-0.00693785009012636
sp|A1Z1Q3|MACD2_HUMAN	-0.10044090660842	-0.431280759251805	-0.223572604777906	0.16104252603582	0.308789400334343	0.145471267204082	0.229868318765645	-0.00484074655934461	-0.0962066060206232	0.0111701108781967	-0.0125377408252311	0.0904371283848798	0.139809112235476	0.187345915385935	-0.0733811812765493	-0.143262507465072	-0.0220030652724649	-0.239494984215122	0.0438632322825506	0.0708801173401835	-0.0416560265745913
sp|A2AJT9|BCLA3_HUMAN	-0.0711541953884737	-0.302867206639386	-0.00712983232953065	0.171504095255006	0.281266576042173	0.073829287133071	0.0863865992756077	-0.0559987560906615	-0.171751162664198	-0.00408540459361911	0.13630930182053	0.14677135905757	0.0603059897140861	0.202500952691627	-0.122338891979328	-0.0284841783609543	-0.0265896330703186	-0.203171531567552	-0.0258528007512536	0.00666239319437256	-0.146112960748783
